,DATE,Log GDP ,Log GDP ,Log GDP ,Log GDP ,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,0,0,0,0,0,0,0,0,0,0,0,0,pos ,,,,,,,,,,,,,neutral,,,,,,,,,,,,,0
35,1-Dec-80,-0.00065949,-0.00889633,0.001400005,0.001123262,7.1,7.1,7.2,7.6,7.9,7.8,7.1,6.7,6.6,6.8,6.9,5.7,0.000829962,,,,,,,,,,,,,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,-12.2,1.7,1.3,6.4,5,3.6,7,-1,-3.8,-10.4,-0.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
36,1-Jan-81,0.007975486,-0.00065949,-0.00889633,0.001400005,6.9,7.1,7.1,7.2,7.6,7.9,7.8,7.1,6.7,6.6,6.8,6.9,0.00155361,0.000829962,,,,,,,,,,,,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,6.9,-12.2,1.7,1.3,6.4,5,3.6,7,-1,-3.8,-10.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5
37,1-Feb-81,0.007975486,-0.00065949,-0.00889633,0.001400005,8.2,6.9,7.1,7.1,7.2,7.6,7.9,7.8,7.1,6.7,6.6,6.8,0.003500626,0.00155361,0.000829962,,,,,,,,,,,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-4.5,6.9,-12.2,1.7,1.3,6.4,5,3.6,7,-1,-3.8,-10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4
38,1-Mar-81,0.007975486,-0.00065949,-0.00889633,0.001400005,8,8.2,6.9,7.1,7.1,7.2,7.6,7.9,7.8,7.1,6.7,6.6,0.005304124,0.003500626,0.00155361,0.000829962,,,,,,,,,,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,-0.4,-4.5,6.9,-12.2,1.7,1.3,6.4,5,3.6,7,-1,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
39,1-Apr-81,0.008893217,0.007975486,-0.00065949,-0.00889633,7.7,8,8.2,6.9,7.1,7.1,7.2,7.6,7.9,7.8,7.1,6.7,0.006191115,0.005304124,0.003500626,0.00155361,0.000829962,,,,,,,,,0.008884715,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,5.9,-0.4,-4.5,6.9,-12.2,1.7,1.3,6.4,5,3.6,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
40,1-May-81,0.008893217,0.007975486,-0.00065949,-0.00889633,7,7.7,8,8.2,6.9,7.1,7.1,7.2,7.6,7.9,7.8,7.1,0.001006355,0.006191115,0.005304124,0.003500626,0.00155361,0.000829962,,,,,,,,0.008987861,0.008884715,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,3.9,5.9,-0.4,-4.5,6.9,-12.2,1.7,1.3,6.4,5,3.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2
41,1-Jun-81,0.008893217,0.007975486,-0.00065949,-0.00889633,7.1,7,7.7,8,8.2,6.9,7.1,7.1,7.2,7.6,7.9,7.8,0.001563712,0.001006355,0.006191115,0.005304124,0.003500626,0.00155361,0.000829962,,,,,,,0.013588537,0.008987861,0.008884715,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,-3.2,3.9,5.9,-0.4,-4.5,6.9,-12.2,1.7,1.3,6.4,5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,1-Jul-81,-0.003179301,0.008893217,0.007975486,-0.00065949,7.7,7.1,7,7.7,8,8.2,6.9,7.1,7.1,7.2,7.6,7.9,0.003097719,0.001563712,0.001006355,0.006191115,0.005304124,0.003500626,0.00155361,0.000829962,,,,,,0.004093194,0.013588537,0.008987861,0.008884715,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,1,-3.2,3.9,5.9,-0.4,-4.5,6.9,-12.2,1.7,1.3,6.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
43,1-Aug-81,-0.003179301,0.008893217,0.007975486,-0.00065949,7.3,7.7,7.1,7,7.7,8,8.2,6.9,7.1,7.1,7.2,7.6,0.003573063,0.003097719,0.001563712,0.001006355,0.006191115,0.005304124,0.003500626,0.00155361,0.000829962,,,,,0.016824683,0.004093194,0.013588537,0.008987861,0.008884715,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-0.0371704,3.1,1,-3.2,3.9,5.9,-0.4,-4.5,6.9,-12.2,1.7,1.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1
44,1-Sep-81,-0.003179301,0.008893217,0.007975486,-0.00065949,7.2,7.3,7.7,7.1,7,7.7,8,8.2,6.9,7.1,7.1,7.2,0.002868739,0.003573063,0.003097719,0.001563712,0.001006355,0.006191115,0.005304124,0.003500626,0.00155361,0.000829962,,,,0.024799974,0.016824683,0.004093194,0.013588537,0.008987861,0.008884715,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-0.039934407,-4.1,3.1,1,-3.2,3.9,5.9,-0.4,-4.5,6.9,-12.2,1.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8
45,1-Oct-81,0.004955853,-0.003179301,0.008893217,0.007975486,7.3,7.2,7.3,7.7,7.1,7,7.7,8,8.2,6.9,7.1,7.1,0.003542125,0.002868739,0.003573063,0.003097719,0.001563712,0.001006355,0.006191115,0.005304124,0.003500626,0.00155361,0.000829962,,,0.015959089,0.024799974,0.016824683,0.004093194,0.013588537,0.008987861,0.008884715,-0.010070476,-0.003499258,0.00977744,-0.000382691,-0.005908503,-0.036950636,-2.8,-4.1,3.1,1,-3.2,3.9,5.9,-0.4,-4.5,6.9,-12.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8
