DATE,,,,IC4WSA,,
4,26,1980,,529750,,
5,3,1980,,556750,,
5,10,1980,,571000,,
5,17,1980,,594500,,
5,24,1980,,610500,,
5,31,1980,,626750,,
6,7,1980,,629000,,
6,14,1980,,616500,,
6,21,1980,,609500,,
6,28,1980,,607000,,
7,5,1980,,599250,,
7,12,1980,,584500,,
7,19,1980,,576500,,
7,26,1980,,559250,,
8,2,1980,,556750,,
8,9,1980,,556750,,
8,16,1980,,546250,,
8,23,1980,,534750,,
8,30,1980,,518000,,
9,6,1980,,512500,,
9,13,1980,,504250,,
9,20,1980,,492500,,
9,27,1980,,482750,,
10,4,1980,,470500,,
10,11,1980,,459250,,
10,18,1980,,449250,,
10,25,1980,,438000,,
11,1,1980,,427250,,
11,8,1980,,417250,,
11,15,1980,,417750,,
11,22,1980,,412750,,
11,29,1980,,411000,,
12,6,1980,,413250,,
12,13,1980,,409750,,
12,20,1980,,413250,,
12,27,1980,,410000,,
1,3,1981,,408500,,
1,10,1981,,410000,,
1,17,1981,,412250,,
1,24,1981,,411500,,
1,31,1981,,413750,,
2,7,1981,,414000,,
2,14,1981,,414500,,
2,21,1981,,425000,,
2,28,1981,,428750,,
3,7,1981,,426000,,
3,14,1981,,422250,,
3,21,1981,,413000,,
3,28,1981,,407500,,
4,4,1981,,409500,,
4,11,1981,,406500,,
4,18,1981,,404250,,
4,25,1981,,410250,,
5,2,1981,,409250,,
5,9,1981,,416000,,
5,16,1981,,421500,,
5,23,1981,,416250,,
5,30,1981,,417250,,
6,6,1981,,418500,,
6,13,1981,,421250,,
6,20,1981,,426250,,
6,27,1981,,433000,,
7,4,1981,,441000,,
7,11,1981,,441250,,
7,18,1981,,440000,,
7,25,1981,,430750,,
8,1,1981,,434750,,
8,8,1981,,440250,,
8,15,1981,,443250,,
8,22,1981,,450000,,
8,29,1981,,443750,,
9,5,1981,,450000,,
9,12,1981,,453000,,
9,19,1981,,463250,,
9,26,1981,,473250,,
10,3,1981,,477250,,
10,10,1981,,486500,,
10,17,1981,,489500,,
10,24,1981,,487500,,
10,31,1981,,493750,,
11,7,1981,,499500,,
11,14,1981,,507000,,
11,21,1981,,502250,,
11,28,1981,,511750,,
12,5,1981,,522750,,
12,12,1981,,531250,,
12,19,1981,,550000,,
12,26,1981,,551000,,
1,2,1982,,535250,,
1,9,1982,,533750,,
1,16,1982,,521250,,
1,23,1982,,523250,,
1,30,1982,,545250,,
2,6,1982,,548000,,
2,13,1982,,552500,,
2,20,1982,,547500,,
2,27,1982,,533750,,
3,6,1982,,533750,,
3,13,1982,,541750,,
3,20,1982,,545000,,
3,27,1982,,556500,,
4,3,1982,,562000,,
4,10,1982,,573500,,
4,17,1982,,583500,,
4,24,1982,,587000,,
5,1,1982,,586500,,
5,8,1982,,586250,,
5,15,1982,,583250,,
5,22,1982,,582750,,
5,29,1982,,585750,,
6,5,1982,,592500,,
6,12,1982,,599750,,
6,19,1982,,601000,,
6,26,1982,,599500,,
7,3,1982,,596750,,
7,10,1982,,586250,,
7,17,1982,,580250,,
7,24,1982,,568750,,
7,31,1982,,570000,,
8,7,1982,,578500,,
8,14,1982,,596000,,
8,21,1982,,619000,,
8,28,1982,,629500,,
9,4,1982,,640750,,
9,11,1982,,641750,,
9,18,1982,,654750,,
9,25,1982,,660750,,
10,2,1982,,671750,,
10,9,1982,,674250,,
10,16,1982,,668250,,
10,23,1982,,656250,,
10,30,1982,,641750,,
11,6,1982,,626250,,
11,13,1982,,612000,,
11,20,1982,,600500,,
11,27,1982,,594250,,
12,4,1982,,586250,,
12,11,1982,,569750,,
12,18,1982,,554500,,
12,25,1982,,523750,,
1,1,1983,,518000,,
1,8,1983,,512250,,
1,15,1983,,503000,,
1,22,1983,,500500,,
1,29,1983,,492750,,
2,5,1983,,490500,,
2,12,1983,,492250,,
2,19,1983,,494250,,
2,26,1983,,488750,,
3,5,1983,,487250,,
3,12,1983,,484500,,
3,19,1983,,480250,,
3,26,1983,,480250,,
